SYMBOL_TILDE,~
SYMBOL_EXCLAIM2,!!
SYMBOL_EXCLAIM,!
SYMBOL_AT,@
SYMBOL_POUND,#
SYMBOL_DOLLAR,$
SYMBOL_PERCENT,%
SYMBOL_CARET,^
SYMBOL_AMPER2,&&
SYMBOL_AMPER,&
SYMOBL_STAR2,**
SYMOBL_STAR,*
SYMBOL_LPAREN,(
SYMBOL_RPAREN,)
SYMBOL_ARROW,->
SYMBOL_DASH,-
SYMBOL_PLUS,+
SYMBOL_EQUAL,=
SYMBOL_EQUAL2,==
SYMBOL_LBRACE,{
SYMBOL_RBRACE,}
SYMBOL_LBRACKET,[
SYMBOL_RBRACKET,]
SYMBOL_PIPE,|
SYMBOL_BACKSLASH,\
SYMBOL_COLON,:
SYMBOL_SEMICOLON,;
SYMBOL_NOTEQUAL,!=
SYMBOL_LESSTHANEQUAL,<=
SYMBOL_LESSTHAN,<
SYMBOL_COMMA,,
SYMBOL_GREATERTHANEQUAL,>=
SYMBOL_GREATERTHAN,>
SYMBOL_PERIOD,.
SYMBOL_QUESTION2,??
SYMBOL_QUESTION,?
SYMBOL_FORWARDSLASH,/
